Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success

0,Jairzinho Rozenstruik,0.23,3.25,MMA,2021-02-27
1,Nikita Krylov,0.3,3.9,MMA,2021-02-27
2,Montana De La Rosa,0.26,2.2,MMA,2021-02-27
3,Kevin Croom,0.21,2.76,MMA,2021-02-27
4,Thiago Moises,0.25,2.88,MMA,2021-02-27
5,Ashley Yoder,0.3,4.1,MMA,2021-02-27
6,Alexis Davis,0.23,2.8,MMA,2021-02-27
7,Vince Cachero,0.23,2.38,MMA,2021-02-27
8,Maxim Grishin,0.21,2.58,MMA,2021-02-27
0,Jairzinho Rozenstruik,0.23,3.25,MMA,2021-02-27
1,Nikita Krylov,0.3,3.9,MMA,2021-02-27
2,Montana De La Rosa,0.26,2.2,MMA,2021-02-27
3,Kevin Croom,0.21,2.76,MMA,2021-02-27
4,Thiago Moises,0.25,2.88,MMA,2021-02-27
5,Ashley Yoder,0.3,4.1,MMA,2021-02-27
6,Alexis Davis,0.23,2.8,MMA,2021-02-27
7,Vince Cachero,0.23,2.38,MMA,2021-02-27
8,Maxim Grishin,0.21,2.58,MMA,2021-02-27
0,Jairzinho Rozenstruik,0.23,3.25,MMA,2021-02-27
1,Nikita Krylov,0.3,3.9,MMA,2021-02-27
2,Montana De La Rosa,0.26,2.2,MMA,2021-02-27
3,Kevin Croom,0.21,2.76,MMA,2021-02-27
4,Thiago Moises,0.25,2.88,MMA,2021-02-27
5,Ashley Yoder,0.3,4.1,MMA,2021-02-27
6,Alexis Davis,0.23,2.8,MMA,2021-02-27
7,Vince Cachero,0.23,2.38,MMA,2021-02-27
8,Maxim Grishin,0.21,2.58,MMA,2021-02-27
